date,decision,actual,confidence,traded,correct,pnl,hold_days,hit_sl,entry,exit
2025-12-01,BUY,NO_TRADE,0.793,True,False,0.0,3,False,3966.9541015625,3966.9541015625
2025-12-05,BUY,NO_TRADE,0.808,True,False,0.47,3,False,3948.5458984375,3966.9541015625
2025-12-11,NO_TRADE,NO_TRADE,0.59,False,False,0.0,0,False,,
2025-12-12,NO_TRADE,NO_TRADE,0.749,False,False,0.0,0,False,,
2025-12-15,NO_TRADE,NO_TRADE,0.518,False,False,0.0,0,False,,
2025-12-16,NO_TRADE,NO_TRADE,0.407,False,False,0.0,0,False,,
2025-12-17,NO_TRADE,NO_TRADE,0.615,False,False,0.0,0,False,,
2025-12-18,NO_TRADE,NO_TRADE,0.533,False,False,0.0,0,False,,
2025-12-19,SELL,SELL,0.776,True,True,1.61,3,False,3994.56640625,3930.137939453125
2025-12-29,BUY,SELL,0.879,True,False,-0.7,3,False,3920.933837890625,3893.321533203125
2026-01-06,NO_TRADE,NO_TRADE,0.597,False,False,0.0,0,False,,
2026-01-07,NO_TRADE,NO_TRADE,0.579,False,False,0.0,0,False,,
2026-01-08,NO_TRADE,NO_TRADE,0.537,False,False,0.0,0,False,,
2026-01-09,NO_TRADE,NO_TRADE,0.497,False,False,0.0,0,False,,
2026-01-12,NO_TRADE,NO_TRADE,0.723,False,False,0.0,0,False,,
2026-01-13,NO_TRADE,NO_TRADE,0.487,False,False,0.0,0,False,,
2026-01-14,SELL,BUY,0.786,True,False,-4.13,1,True,4012.974609375,4178.64794921875
2026-01-19,NO_TRADE,NO_TRADE,0.469,False,False,0.0,0,False,,
2026-01-20,NO_TRADE,NO_TRADE,0.441,False,False,0.0,0,False,,
2026-01-21,NO_TRADE,NO_TRADE,0.608,False,False,0.0,0,False,,
2026-01-22,SELL,SELL,0.756,True,True,1.96,3,False,4224.66796875,4141.83154296875
2026-01-28,NO_TRADE,NO_TRADE,0.716,False,False,0.0,0,False,,
2026-01-29,NO_TRADE,NO_TRADE,0.669,False,False,0.0,0,False,,
2026-01-30,NO_TRADE,NO_TRADE,0.577,False,False,0.0,0,False,,
2026-02-02,NO_TRADE,NO_TRADE,0.433,False,False,0.0,0,False,,
2026-02-03,NO_TRADE,NO_TRADE,0.489,False,False,0.0,0,False,,
2026-02-04,NO_TRADE,NO_TRADE,0.73,False,False,0.0,0,False,,
2026-02-05,NO_TRADE,NO_TRADE,0.505,False,False,0.0,0,False,,
2026-02-06,NO_TRADE,NO_TRADE,0.574,False,False,0.0,0,False,,
2026-02-09,NO_TRADE,NO_TRADE,0.5,False,False,0.0,0,False,,
2026-02-10,NO_TRADE,NO_TRADE,0.666,False,False,0.0,0,False,,
2026-02-11,NO_TRADE,NO_TRADE,0.472,False,False,0.0,0,False,,
2026-02-12,NO_TRADE,NO_TRADE,0.485,False,False,0.0,0,False,,
2026-02-13,NO_TRADE,NO_TRADE,0.394,False,False,0.0,0,False,,
2026-02-18,NO_TRADE,NO_TRADE,0.628,False,False,0.0,0,False,,
2026-02-19,NO_TRADE,NO_TRADE,0.497,False,False,0.0,0,False,,
2026-02-20,NO_TRADE,NO_TRADE,0.614,False,False,0.0,0,False,,
2026-02-23,NO_TRADE,NO_TRADE,0.516,False,False,0.0,0,False,,
2026-02-24,NO_TRADE,NO_TRADE,0.495,False,False,0.0,0,False,,
2026-02-25,NO_TRADE,NO_TRADE,0.464,False,False,0.0,0,False,,
2026-02-26,NO_TRADE,NO_TRADE,0.421,False,False,0.0,0,False,,
2026-02-27,NO_TRADE,NO_TRADE,0.403,False,False,0.0,0,False,,
2026-03-02,NO_TRADE,NO_TRADE,0.533,False,False,0.0,0,False,,
2026-03-03,NO_TRADE,NO_TRADE,0.447,False,False,0.0,0,False,,
2026-03-04,NO_TRADE,NO_TRADE,0.687,False,False,0.0,0,False,,
2026-03-05,BUY,NO_TRADE,0.765,True,False,-0.47,3,False,3939.342041015625,3920.933837890625
2026-03-11,NO_TRADE,NO_TRADE,0.512,False,False,0.0,0,False,,
2026-03-12,NO_TRADE,NO_TRADE,0.713,False,False,0.0,0,False,,
2026-03-13,NO_TRADE,NO_TRADE,0.623,False,False,0.0,0,False,,
2026-03-16,NO_TRADE,NO_TRADE,0.551,False,False,0.0,0,False,,
2026-03-17,NO_TRADE,NO_TRADE,0.618,False,False,0.0,0,False,,
2026-03-25,NO_TRADE,NO_TRADE,0.428,False,False,0.0,0,False,,
2026-03-26,NO_TRADE,NO_TRADE,0.499,False,False,0.0,0,False,,
2026-03-27,NO_TRADE,NO_TRADE,0.472,False,False,0.0,0,False,,
2026-03-30,NO_TRADE,NO_TRADE,0.725,False,False,0.0,0,False,,
2026-03-31,NO_TRADE,NO_TRADE,0.7,False,False,0.0,0,False,,
2026-04-01,BUY,SELL,0.919,True,False,-2.15,2,True,3720.0,3640.0
2026-04-07,BUY,BUY,0.772,True,True,6.27,3,False,3510.0,3730.0
2026-04-13,NO_TRADE,NO_TRADE,0.678,False,False,0.0,0,False,,
2026-04-14,BUY,SELL,0.908,True,False,-0.8,3,False,3740.0,3710.0
2026-04-20,BUY,BUY,0.836,True,True,4.36,2,False,3670.0,3830.0
